AIRLINE NAME	IATA DESIGNATOR	3 DIGIT CODE	ICAO CODE	COUNTRY / TERRITORY
Aegean Airlines	A3	390	AEE	Greece
Aer Lingus	EI	053	EIN	Ireland
Aero Republica	P5	845	RPB	Colombia
Aeroflot	SU	555	AFL	Russian Federation
Aerolineas Argentinas	AR	044	ARG	Argentina
Aeromexico	AM	139	AMX	Mexico
Africa World Airlines	AW	394	AFW	Ghana
Air Algérie	AH	124	DAH	Algeria
Air Arabia	G9	514	ABY	United Arab Emirates
Air Astana	KC	465	KZR	Kazakhstan
Air Austral	UU	760	REU	Réunion
Air Baltic	BT	657	BTI	Latvia
Air Botswana	BP	636	BOT	Botswana
Air Burkina	2J	226	VBW	Burkina Faso
Air Cairo	SM	381	MSC	Egypt
Air Caledonie	TY	190	TPC	New Caledonia
Air Canada	AC	014	ACA	Canada
Air Caraibes	TX	427	FWI	Guadeloupe
Air China	CA	999	CCA	China (People's Republic of)
Air Corsica	XK	146	CCM	France
Air Dolomiti	EN	101	DLA	Italy
Air Europa	UX	996	AEA	Spain
Air France	AF	057	AFR	France
Air Guilin	GT	730	CGH	China (People's Republic of)
Air India	AI	098	AIC	India
Air Italy	IG	191	ISS	Italy
Air Koryo	JS	120	KOR	Korea, Democratic People's Republic of
Air Macau	NX	675	AMU	Macao SAR, China
Air Madagascar	MD	258	MDG	Madagascar
Air Malta	KM	643	AMC	Malta
Air Mauritius	MK	239	MAU	Mauritius
Air Moldova	9U	572	MLD	Moldova, Republic of
Air Namibia	SW	186	NMB	Namibia
Air New Zealand	NZ	086	ANZ	New Zealand
Air Niugini	PX	656	ANG	Independent State of Papua New Guinea
Air Nostrum	YW	694	ANE	Spain
Air Peace	P4	710	APK	Nigeria
Air Serbia	JU	115	ASL	Serbia
Air Seychelles	HM	061	SEY	Seychelles
Air Tahiti	VT	135	VTA	French Polynesia
Air Tahiti Nui	TN	244	THT	French Polynesia
Air Tanzania	TC	197	ATC	Tanzania, United Republic of
Air Transat	TS	649	TSC	Canada
Air Vanuatu	NF	218	AVN	Vanuatu
AirBridgeCargo Airlines	RU	580	ABW	Russian Federation
Aircalin	SB	063	ACI	New Caledonia
Airlink	4Z	749	LNK	South Africa
Alaska Airlines	AS	027	ASA	United States
Albastar	AP	374	LAV	Spain
Alitalia	AZ	055	AZA	Italy
Allied Air	4W	574	AJK	Nigeria
AlMasria Universal Airlines	UJ	110	LMU	Egypt
American Airlines	AA	001	AAL	United States
ANA	NH	205	ANA	Japan
APG Airlines	GP	275	RIV	France
Arik Air	W3	725	ARA	Nigeria
Arkia Israeli Airlines	IZ	238	AIZ	Israel
Asiana Airlines	OZ	988	AAR	Korea
ASL Airlines France	5O	558	FPO	France
Atlantic Airways	RC	767	FLI	Faroe Islands
Atlas Air	5Y	369	GTI	United States
Austral	AU	143	AUT	Argentina
